id,name,style,venue_id,weekday,start,end,price,payment,beginner_class,music,dj,band,organizer,url,description,status,valid_from,valid_to
chicago-live-weds,Chicago Live Wednesdays,all,chicago,wednesday,19:00,23:00,,,19:00,live,,,Chicago Swing Dance Studio,https://www.chicago75.se,"CHICAGO LIVE WEDNESDAYS. Socialdans till livemusik varje onsdag, oftast till levande band och emellanåt till stans vassaste DJs. En Lindy Hop drop-in-prova-på går av stapeln före dansen — ingen föranmälan krävs, det är bara att dyka upp. Det finns ett väl tilltaget dansgolv samt sittplatser för de som bara vill sitta och lyssna. Cafét serverar enklare mat, deserter och dricka.",live,2026-06-03,2026-06-17
zinkens-rhythm-club,Zinken's Rhythm Club,balboa,chicago,thursday,20:30,22:30,100/80 kr,,,dj,,,Chicago Swing Dance Studio,https://www.chicago75.se/evenemang/zinkens-rhythm-club,"Zinken's Rhythm Club — a regular weekly social dance evening with up-tempo DJ music for fast dancing (there will be a variety of tempos, slower ones too every once in a while). The main idea is a dance space fit to the wishes of the Stockholm Balboa dancers, but all other dancers and dances are welcome: solo jazz, Shag, Lindy Hop, or whatever you feel like bringing to the floor. A good complement to the live-music dance evenings on Wednesdays and Saturdays. Tickets are purchased in the bar downstairs; there is no coat check, so don't leave valuables in the wardrobe.",live,2026-06-04,2026-06-17
p-tzz-dah,P-Tzz-Dah,lindy-hop,sprallen,tuesday,18:00,22:00,50 kr,Swish/cash,,dj,DJ Hank Hipshot,,Sprallen,https://www.facebook.com/events/s/p-tzz-dah-tuesday-june-9/2173673533381887/,"It's On! For the WHOLE season EVERY Tuesday is a swingin' night with P-Tzz-Dah! DJ Hank Hipshot provides swingin' grooves for your swingin' moves. Support for the organizer / DJ is appreciated. #PTzzDah #Sprallen #HankHipshot #LindyHop #RnB #JumpBlues #Swingjazz — See You-Be-Do-Be-Do!",live,2026-06-09,2026-08-31
